KÛd obce,N·zev obce,VoliËi v seznamu,VydanÈ ob·lky,PlatnÈ hlasy,ObËansk· demokratick· strana,ÿ·d n·roda - Vlasteneck· unie,CESTA ODPOVÃDN… SPOLE»NOSTI,»esk· str.soci·lnÏ demokrat.,RadostnÈ »esko,STAROSTOV… A NEZ¡VISLÕ,Komunistick· str.»ech a Moravy,Strana zelen˝ch,"ROZUMNÕ-stop migraci,dikt·t.EU",Strana svobodn˝ch obËan˘,Blok proti islam.-Obran.domova,ObËansk· demokratick· aliance,»esk· pir·tsk· strana,»esk· n·rodnÌ fronta,Referendum o EvropskÈ unii,TOP 09,ANO 2011,Dobr· volba 2016,SPR-Republ.str.»sl. M.Sl·dka,K¯esù.demokr.unie-»s.str.lid.,»esk· strana n·rodnÏ soci·lnÌ,REALIST…,SPORTOVCI,DÏlnic.str.soci·lnÌ spravedl.,Svob.a p¯.dem.-T.Okamura (SPD),Strana Pr·v ObËan˘
598275,KaÚovice,253,186,183,"14,20 %","0,00 %","0,00 %","8,74 %","0,00 %","4,91 %","7,10 %","1,09 %","0,00 %","0,00 %","0,00 %","0,00 %","6,55 %","0,00 %","0,00 %","1,09 %","36,61 %","0,00 %","0,00 %","7,10 %","0,00 %","0,00 %","0,00 %","0,00 %","12,56 %","0,00 %"
507237,KomornÌ Lhotka,1 060,682,680,"7,20 %","0,44 %","0,14 %","9,85 %","0,29 %","2,05 %","6,61 %","0,73 %","0,73 %","1,47 %","0,00 %","0,00 %","4,11 %","0,00 %","0,14 %","2,05 %","34,55 %","0,00 %","0,29 %","16,17 %","0,00 %","0,73 %","0,00 %","0,00 %","11,61 %","0,73 %"
507458,Koöa¯iska,303,158,156,"11,53 %","0,00 %","0,00 %","12,82 %","0,00 %","2,56 %","5,12 %","0,00 %","0,64 %","1,28 %","0,00 %","0,00 %","7,69 %","0,00 %","0,00 %","0,00 %","33,97 %","0,00 %","0,00 %","12,82 %","0,00 %","2,56 %","0,00 %","0,00 %","8,33 %","0,64 %"
598321,Kozlovice,2 407,1 564,1 558,"7,95 %","0,32 %","0,12 %","6,99 %","0,25 %","2,43 %","5,90 %","1,15 %","1,09 %","0,70 %","0,12 %","0,12 %","8,66 %","0,00 %","0,06 %","2,31 %","35,23 %","0,06 %","0,25 %","15,14 %","0,00 %","0,38 %","0,12 %","0,19 %","10,07 %","0,25 %"
549673,Kr·sn·,576,345,344,"4,94 %","0,00 %","0,00 %","6,10 %","0,00 %","6,10 %","11,62 %","2,03 %","0,29 %","1,74 %","0,00 %","0,00 %","9,88 %","0,00 %","0,00 %","1,16 %","32,84 %","0,00 %","0,00 %","9,01 %","0,29 %","0,58 %","0,87 %","0,29 %","11,91 %","0,29 %"
598348,KrmelÌn,1 851,1 306,1 300,"11,76 %","0,00 %","0,07 %","7,53 %","0,07 %","3,30 %","6,15 %","1,23 %","0,38 %","1,76 %","0,07 %","0,15 %","9,23 %","0,00 %","0,00 %","3,53 %","32,84 %","0,00 %","0,00 %","9,15 %","0,07 %","0,61 %","0,00 %","0,15 %","11,61 %","0,23 %"
598356,KunËice pod Ond¯ejnÌkem,1 899,1 197,1 193,"11,14 %","0,08 %","0,08 %","7,12 %","0,33 %","3,26 %","7,20 %","1,42 %","0,75 %","1,17 %","0,16 %","0,16 %","9,38 %","0,00 %","0,00 %","2,17 %","32,27 %","0,33 %","0,00 %","9,30 %","0,00 %","0,67 %","0,16 %","0,08 %","12,48 %","0,16 %"
598364,Lhotka,432,288,287,"10,80 %","0,00 %","0,00 %","8,01 %","0,00 %","4,52 %","6,27 %","0,69 %","0,69 %","0,00 %","0,00 %","0,00 %","8,36 %","0,00 %","0,00 %","2,09 %","35,54 %","0,34 %","0,69 %","6,96 %","0,00 %","0,69 %","0,69 %","0,00 %","13,24 %","0,34 %"
598399,LuËina,1 120,757,750,"10,26 %","0,13 %","0,00 %","8,40 %","0,26 %","2,66 %","9,33 %","1,60 %","0,53 %","0,93 %","0,00 %","0,40 %","5,06 %","0,00 %","0,00 %","2,26 %","39,06 %","0,13 %","0,26 %","5,33 %","0,26 %","0,26 %","0,13 %","0,13 %","12,26 %","0,26 %"
552593,Malenovice,566,438,435,"15,63 %","0,00 %","0,00 %","6,89 %","0,00 %","3,90 %","3,21 %","1,83 %","0,68 %","2,52 %","0,00 %","0,22 %","11,72 %","0,00 %","0,00 %","5,51 %","28,50 %","0,00 %","0,00 %","10,34 %","0,00 %","1,37 %","0,00 %","0,00 %","7,35 %","0,22 %"
